ffi_h_code,distance_km,name
0117017,2.635523274322423,Rio Amazonas
0117017,50.31699456483839,Rio Itaya
0117017,14.94236255749783,Qda Vainilla
0117017,5.549553444348133,Rio Maniti
0117018,2.5848399464382843,Rio Amazonas
0117018,49.87181205151109,Rio Itaya
0117018,15.398366967871786,Qda Vainilla
0117018,5.967940426916369,Rio Maniti
0117019,2.5345043643706067,Rio Amazonas
0117019,49.76212372169458,Rio Itaya
0117019,15.497054357353385,Qda Vainilla
0117019,6.072506787665852,Rio Maniti
0117002,2.718161604357034,Rio Amazonas
0117002,50.907508626002084,Rio Itaya
0117002,14.198975160031242,Qda Vainilla
0117002,4.87543870130302,Rio Maniti
0117003,2.7368463809632395,Rio Amazonas
0117003,50.94992532766738,Rio Itaya
0117003,14.245499769214,Qda Vainilla
0117003,4.935904650105544,Rio Maniti
0117004,2.7274562615465596,Rio Amazonas
0117004,50.9230617633235,Rio Itaya
0117004,14.278161316355995,Qda Vainilla
0117004,4.964489671297251,Rio Maniti
0117006,2.673602840334368,Rio Amazonas
0117006,50.93558831568941,Rio Itaya
0117006,14.321948655617346,Qda Vainilla
0117006,5.014688556848859,Rio Maniti
0113012,3.2113223109459508,Rio Amazonas
0113012,26.343845462199493,Rio Itaya
0113012,32.56231936927887,Qda Vainilla
0113012,7.120468316345587,Rio Maniti
0113013,3.1559156810247146,Rio Amazonas
0113013,26.720857217262925,Rio Itaya
0113013,32.08822162288721,Qda Vainilla
0113013,6.719609304543931,Rio Maniti
0113001,3.3006343889504426,Rio Amazonas
0113001,26.52713215002799,Rio Itaya
0113001,32.23407315016923,Qda Vainilla
0113001,6.768821356512484,Rio Maniti
0113002,3.264271497733559,Rio Amazonas
0113002,26.528814974869043,Rio Itaya
0113002,32.26088074514069,Qda Vainilla
0113002,6.8133093774273865,Rio Maniti
0113003,3.222323232832066,Rio Amazonas
0113003,26.536133584740607,Rio Itaya
0113003,32.28490823622719,Qda Vainilla
0113003,6.8585397102217405,Rio Maniti
0113004,3.20289498487618,Rio Amazonas
0113004,26.579210767749057,Rio Itaya
0113004,32.24155337948496,Qda Vainilla
0113004,6.8299053368119145,Rio Maniti
0113005,3.1774216816120195,Rio Amazonas
0113005,26.61581322064745,Rio Itaya
0113005,32.212244342406855,Qda Vainilla
0113005,6.817748994534552,Rio Maniti
0113006,3.1683806628379414,Rio Amazonas
0113006,26.63155380566006,Rio Itaya
0113006,32.198167242161425,Qda Vainilla
0113006,6.810211366340047,Rio Maniti
0113007,3.143493723887943,Rio Amazonas
0113007,26.658218443042088,Rio Itaya
0113007,32.182048051253616,Qda Vainilla
0113007,6.809870733830972,Rio Maniti
0113008,3.1336350362556873,Rio Amazonas
0113008,26.67132363631442,Rio Itaya
0113008,32.17225893335166,Qda Vainilla
0113008,6.806747779079767,Rio Maniti
0113009,3.0966453673262904,Rio Amazonas
0113009,26.761296809701552,Rio Itaya
0113009,32.08091141616223,Qda Vainilla
0113009,6.7471103913711765,Rio Maniti
0113010,3.104258409554165,Rio Amazonas
0113010,26.764153108615037,Rio Itaya
0113010,32.0710480762864,Qda Vainilla
0113010,6.73403612070251,Rio Maniti
0115005,1.9939148971857301,Rio Amazonas
0115005,48.34112356494,Rio Itaya
0115005,16.194526022733292,Qda Vainilla
0115005,6.081208001373859,Rio Maniti
0115019,1.8857098911218009,Rio Amazonas
0115019,49.01947349934029,Rio Itaya
0115019,15.238149639237058,Qda Vainilla
0115019,5.437205646758973,Rio Maniti
0115020,1.8764906284175928,Rio Amazonas
0115020,49.09675950572365,Rio Itaya
0115020,15.136730217018386,Qda Vainilla
0115020,5.377862100340606,Rio Maniti
0115026,2.0488779516099975,Rio Amazonas
0115026,48.991107637887566,Rio Itaya
0115026,15.471837468659253,Qda Vainilla
0115026,5.662430072673096,Rio Maniti
0115022,1.8706780815957254,Rio Amazonas
0115022,49.42750586291658,Rio Itaya
0115022,14.766771734034766,Qda Vainilla
0115022,5.164936552312058,Rio Maniti
0115004,2.007751055584193,Rio Amazonas
0115004,48.268018616218924,Rio Itaya
0115004,16.304385164477996,Qda Vainilla
0115004,6.162737543916787,Rio Maniti
0115011,1.8417574516380422,Rio Amazonas
0115011,48.43575654329636,Rio Itaya
0115011,15.872727111344503,Qda Vainilla
0115011,5.787268496601883,Rio Maniti
0115018,1.8805352980690047,Rio Amazonas
0115018,48.90582442617466,Rio Itaya
0115018,15.360958790089585,Qda Vainilla
0115018,5.499626790274756,Rio Maniti
0115010,1.859318642053063,Rio Amazonas
0115010,48.421514418943424,Rio Itaya
0115010,15.914413442325461,Qda Vainilla
0115010,5.824239213566655,Rio Maniti
0115021,1.891590237886719,Rio Amazonas
0115021,49.375719661467954,Rio Itaya
0115021,14.845613573791443,Qda Vainilla
0115021,5.22349302384939,Rio Maniti
0115031,2.1034760557134424,Rio Amazonas
0115031,48.947936821749664,Rio Itaya
0115031,15.586894396885013,Qda Vainilla
0115031,5.757326769721426,Rio Maniti
0115009,1.9068354755520271,Rio Amazonas
0115009,48.435744925845796,Rio Itaya
0115009,15.959187733258277,Qda Vainilla
0115009,5.878727966174574,Rio Maniti
0115023,1.8743307713522595,Rio Amazonas
0115023,49.55538362327718,Rio Itaya
0115023,14.62754542817968,Qda Vainilla
0115023,5.080868425728652,Rio Maniti
0115024,1.8673557114091293,Rio Amazonas
0115024,49.597499035110275,Rio Itaya
0115024,14.570153963605827,Qda Vainilla
0115024,5.041877960455274,Rio Maniti
0102048,0.12477058721323321,Rio Maniti
0102048,53.2545945964022,Rio Itaya
0102048,8.305771329397805,Qda Vainilla
0102048,0.749106139157626,Rio Maniti
0102049,0.1260533174715296,Rio Maniti
0102049,53.266596579692695,Rio Itaya
0102049,8.291587885038235,Qda Vainilla
0102049,0.7638320643714931,Rio Maniti
0102050,0.1287485216144296,Rio Maniti
0102050,53.279303031341165,Rio Itaya
0102050,8.278065469399156,Qda Vainilla
0102050,0.7786458986364917,Rio Maniti
0102051,0.13729964604312436,Rio Maniti
0102051,53.29754870287052,Rio Itaya
0102051,8.264302611265531,Qda Vainilla
0102051,0.7969557595280878,Rio Maniti
0102053,0.13876997571403027,Rio Amazonas
